x,z,plane,id,name

(custom) beta only Erasmus
3232,3235,0,1017

0 Hans 1 100%
3219,3222,0,0,Hans,Lumbridge_Castle,50_50

1 2 3 4 16 24 MAN

7
3277,3187,0,16,Man,Al-Kharid_Furnace_House,51_49
3278,3155,0,1,Man,Al-Kharid_South_of_Palace,51_49
3284,3199,0,1,Man,Al-Kharid_North_of_Palace,51_49
3294,3196,0,2,Man,Al-Kharid_North_of_Palace,51_49
3303,3199,0,3,Man,Al-Kharid_North_of_Palace,51_49
3293,3205,0,16,Man,Al-Kharid_Near_Silk_Merchant,51_50
3298,3206,0,3,Man,Al-Kharid_Near_Silk_Merchant,51_50

3
2608,3297,0,1,Man,Ardougne_outside_Church,40_51
2614,3318,0,24,Man,Ardougne_South_of_Church,40_51
2618,3294,1,24,Man,Ardougne_South_of_Jerico_House,40_51

3
2803,3431,0,1,Man,Catherby_Pier,43_53
2805,3428,0,1,Man,Catherby_Pier,43_53
2816,3442,0,3,Man,Catherby_East_of_Bank,44_53

4
2693,3489,0,2,Man,Seers_Village_Foresters_Arms,42_54
2694,3497,0,1,Man,Seers_Village_Foresters_Arms,42_54
2698,3491,0,3,Man,Seers_Village_Foresters_Arms,42_54
2713,3480,0,1,Man,Seers_Village_South_of_Smithing_House,42_54

7
3092,3510,0,3,Man,Edgeville,48_54
3093,3512,0,1,Man,Edgeville,48_54
3097,3508,0,3,Man,Edgeville,48_54
3097,3512,0,1,Man,Edgeville,48_54
3100,3509,0,1,Man,Edgeville,48_54
3100,3511,0,1,Man,Edgeville,48_54
3101,3509,0,3,Man,Edgeville,48_54

5
2982,3379,0,1,Man,Falador_East_of_Furnace,46_52
2972,3375,0,1,Man,Falador_Inside_Furnace_House,46_52
2986,3434,0,2,Man,North_of_Falador_along_the_road,46_53
2955,3452,0,2,Man,Falador_Behind_Doric_House,46_53
3006,3457,0,1,Man,Falador_Dwarven_Mine_Entrance,46_54		3006,3458,0,

11
3206,3219,1,1,Man,Lumbridge_Castle,50_50
3207,3227,0,1,Man,Lumbridge_Castle,50_50
3209,3215,1,3,Man,Lumbridge_Castle,50_50
3216,3219,0,1,Man,Lumbridge_Castle,50_50
3217,3236,0,3,Man,Outside_Lumbridge_Castle,50_50
3221,3219,0,3,Man,Outside_Lumbridge_Castle,50_50
3223,3240,0,2,Man,Outside_Lumbridge_Castle,50_50
3229,3238,0,1,Man,Outside_Lumbridge_Castle,50_50
3231,3207,0,1,Man,Outside_Lumbridge_Castle,50_50	
3235,3219,0,2,Man,Outside_Lumbridge_Castle,50_50
3236,3201,0,3,Man,Outside_Lumbridge_Castle,50_50

1
3100,3279,0,1,Man,Draynor_Village,48_51

1
3017,3238,0,1,Man,Port_Sarim,47_50

1
2967,3210,1,1,Man,Rimmington,46_50

1
2603,3421,0,1,Man,Fishing_Guild,40_53

2
2596,3104,0,1,Man,Yanille,40_48
2596,3106,0,3,Man,Yanille,40_48

10
3154,3428,0,1,Man,Varrock_Juliet_House,49_53
3194,3396,0,3,Man,Varrock_South_of_Apothecary,49_53
3234,3385,1,2,Man,Varrock_South_House_Upstairs,50_52
3222,3397,0,1,Man,Varrock_Blue_Moon_Inn,50_53
3231,3399,1,3,Man,Varrock_Blue_Moon_Inn_Upstairs,50_53
3234,3398,0,1,Man,Varrock_East_of_Blue_Moon_Inn,50_53
3237,3406,0,1,Man,Varrock_West_of_Aubury),50_53
3238,3406,0,3,Man,Varrock_West_of_Aubury),50_53
3261,3402,0,2,Man,Varrock_East_of_Aubury,50_53
3283,3501,0,3,Man,Varrock_Jolly_Boar_Inn_Near_Wilderness,51_54

1
2974,3742,0,1,Man,Wilderness_Forgotten_Cemetery,46_58

2
2889,3173,0,1,Man,Karamja_Musa_Point,45_49
2948,3146,0,1,Man,Karamja_Musa_Point_Pier,46_49

4 5 6 25 Woman 2lv

6
3217,3205,0,4,Woman,Outside_Lumbridge_Castle,50_50
3235,3206,0,4,Woman,Outside_Lumbridge_Castle,50_50
3236,3203,0,5,Woman,Outside_Lumbridge_Castle,50_50
3244,3211,0,6,Woman,Outside_Lumbridge_Castle,50_50
3211,3213,1,4,Woman,Lumbridge_Castle,50_50
